n-plet	method	O-information	alpha	beta
X1-X2-Z_red	THOI	5.1851821616729366	0.01	0.99
X1-X2-Z_syn	THOI	-6.83093296180548e-05	0.01	0.99
X1-X2-Z_syn-Z_red	THOI	4.699641118677209	0.01	0.99
X1-Z_red-Z_syn	THOI	-0.6102144747108056	0.01	0.99
X2-Z_red-Z_syn	THOI	-0.6002851889814842	0.01	0.99
X1-X2-Z_red	THOI	2.8560967907875217	0.1	0.9
X1-X2-Z_syn	THOI	0.0011212669706299528	0.1	0.9
X1-X2-Z_syn-Z_red	THOI	1.9624203968162603	0.1	0.9
X1-Z_red-Z_syn	THOI	-0.7870714497139291	0.1	0.9
X2-Z_red-Z_syn	THOI	-0.7857190614492136	0.1	0.9
X1-X2-Z_red	THOI	2.0553165144713264	0.2	0.8
X1-X2-Z_syn	THOI	0.0053753668153338815	0.2	0.8
X1-X2-Z_syn-Z_red	THOI	1.1158807388390382	0.2	0.8
X1-Z_red-Z_syn	THOI	-0.8000147888776231	0.2	0.8
X2-Z_red-Z_syn	THOI	-0.7976835801697332	0.2	0.8
X1-X2-Z_red	THOI	1.5348361781236814	0.3	0.7
X1-X2-Z_syn	THOI	0.016601737642083392	0.3	0.7
X1-X2-Z_syn-Z_red	THOI	0.5890055469749471	0.3	0.7
X1-Z_red-Z_syn	THOI	-0.7891517035997839	0.3	0.7
X2-Z_red-Z_syn	THOI	-0.7956832361156756	0.3	0.7
X1-X2-Z_red	THOI	1.122729265322779	0.4	0.6
X1-X2-Z_syn	THOI	0.03779702805015186	0.4	0.6
X1-X2-Z_syn-Z_red	THOI	0.19018921531971	0.4	0.6
X1-Z_red-Z_syn	THOI	-0.7751248286050516	0.4	0.6
X2-Z_red-Z_syn	THOI	-0.7709010938225495	0.4	0.6
X1-X2-Z_red	THOI	0.7821030274248608	0.5	0.5
X1-X2-Z_syn	THOI	0.07779924031702642	0.5	0.5
X1-X2-Z_syn-Z_red	THOI	-0.10613562142016866	0.5	0.5
X1-Z_red-Z_syn	THOI	-0.7355524063561099	0.5	0.5
X2-Z_red-Z_syn	THOI	-0.7286241814805404	0.5	0.5
X1-X2-Z_red	THOI	0.4956595169453579	0.6	0.4
X1-X2-Z_syn	THOI	0.1468231194795138	0.6	0.4
X1-X2-Z_syn-Z_red	THOI	-0.2870850067306934	0.6	0.4
X1-Z_red-Z_syn	THOI	-0.6479228610619587	0.6	0.4
X2-Z_red-Z_syn	THOI	-0.6549067795709326	0.6	0.4
X1-X2-Z_red	THOI	0.2809915951653868	0.7	0.30000000000000004
X1-X2-Z_syn	THOI	0.24814681539453395	0.7	0.30000000000000004
X1-X2-Z_syn-Z_red	THOI	-0.3039349643630814	0.7	0.30000000000000004
X1-Z_red-Z_syn	THOI	-0.5140381050095262	0.7	0.30000000000000004
X2-Z_red-Z_syn	THOI	-0.516876966595327	0.7	0.30000000000000004
X1-X2-Z_red	THOI	0.1418039340419017	0.8	0.19999999999999996
X1-X2-Z_syn	THOI	0.3393634515637486	0.8	0.19999999999999996
X1-X2-Z_syn-Z_red	THOI	-0.21974609384828353	0.8	0.19999999999999996
X1-Z_red-Z_syn	THOI	-0.3461224322820512	0.8	0.19999999999999996
X2-Z_red-Z_syn	THOI	-0.3481600897380243	0.8	0.19999999999999996
X1-X2-Z_red	THOI	0.06917051691452962	0.9	0.09999999999999998
X1-X2-Z_syn	THOI	0.3518491659485924	0.9	0.09999999999999998
X1-X2-Z_syn-Z_red	THOI	-0.19340317110829452	0.9	0.09999999999999998
X1-Z_red-Z_syn	THOI	-0.20139770353695904	0.9	0.09999999999999998
X2-Z_red-Z_syn	THOI	-0.20086796344361738	0.9	0.09999999999999998
X1-X2-Z_red	THOI	-1.682430209513086e-05	1.0	0.0
X1-X2-Z_syn	THOI	0.2561258676731707	1.0	0.0
X1-X2-Z_syn-Z_red	THOI	0.2561171927978945	1.0	0.0
X1-Z_red-Z_syn	THOI	-5.9769988816738005e-06	1.0	0.0
X2-Z_red-Z_syn	THOI	-2.32647774405903e-05	1.0	0.0
