input_type	D	T	N	batch_size	min_order	max_order	device	time
timeseries	1	10000	20	10000	3	20	cpu	11.268362045288086
covmat	1	10000	20	10000	3	20	cpu	71.95350933074951
timeseries	2	10000	20	10000	3	20	cpu	12.23178505897522
covmat	2	10000	20	10000	3	20	cpu	48.87580704689026
timeseries	3	10000	20	10000	3	20	cpu	18.398854970932007
covmat	3	10000	20	10000	3	20	cpu	88.75677871704102
timeseries	4	10000	20	10000	3	20	cpu	63.85728073120117
covmat	4	10000	20	10000	3	20	cpu	149.4519600868225
timeseries	5	10000	20	10000	3	20	cpu	77.23217582702637
covmat	5	10000	20	10000	3	20	cpu	150.77039694786072
timeseries	6	10000	20	10000	3	20	cpu	91.42499279975891
covmat	6	10000	20	10000	3	20	cpu	150.64827919006348
timeseries	7	10000	20	10000	3	20	cpu	106.67154884338379
covmat	7	10000	20	10000	3	20	cpu	148.1612045764923
timeseries	8	10000	20	10000	3	20	cpu	119.6214280128479
covmat	8	10000	20	10000	3	20	cpu	147.54548573493958
timeseries	9	10000	20	10000	3	20	cpu	133.71510910987854
covmat	9	10000	20	10000	3	20	cpu	149.54118394851685
timeseries	10	10000	20	10000	3	20	cpu	150.8750605583191
covmat	10	10000	20	10000	3	20	cpu	152.42238306999207
timeseries	11	10000	20	10000	3	20	cpu	162.01888799667358
covmat	11	10000	20	10000	3	20	cpu	149.55950021743774
timeseries	12	10000	20	10000	3	20	cpu	178.6227810382843
covmat	12	10000	20	10000	3	20	cpu	151.8367030620575
timeseries	13	10000	20	10000	3	20	cpu	191.919273853302
covmat	13	10000	20	10000	3	20	cpu	149.29044222831726
timeseries	14	10000	20	10000	3	20	cpu	206.0897364616394
covmat	14	10000	20	10000	3	20	cpu	151.3873255252838
timeseries	15	10000	20	10000	3	20	cpu	221.26723551750183
covmat	15	10000	20	10000	3	20	cpu	148.8142113685608
timeseries	16	10000	20	10000	3	20	cpu	234.28229784965515
covmat	16	10000	20	10000	3	20	cpu	149.81126189231873
timeseries	17	10000	20	10000	3	20	cpu	246.97522497177124
covmat	17	10000	20	10000	3	20	cpu	148.0729479789734
timeseries	18	10000	20	10000	3	20	cpu	266.1657991409302
covmat	18	10000	20	10000	3	20	cpu	148.0779721736908
timeseries	19	10000	20	10000	3	20	cpu	288.24396562576294
covmat	19	10000	20	10000	3	20	cpu	152.81631803512573
timeseries	20	10000	20	10000	3	20	cpu	296.2378890514374
covmat	20	10000	20	10000	3	20	cpu	149.80793523788452
